listing_id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_Hotel_B_and_B,property_type_House,property_type_Other_Unique,has_license,has_review,occupancy_rate
46659113,1,14,19,Mid-Cambridge,42.37622,-71.10556,2,1.0,1.0,104.0,5,730,4.79,4.83,4.79,4.96,4.96,4.92,4.67,0,5,1.0,0.0,False,True,1,1,1,1,1,1,1,1,1,1,29,0,1,0,0,1,0.958904109589041
46659757,1,14,19,Mid-Cambridge,42.37682,-71.10854,2,1.0,1.0,133.0,7,730,4.86,4.82,4.95,4.86,4.82,4.91,4.23,0,5,1.0,1.0,False,True,1,1,1,0,1,1,0,1,1,0,22,0,1,0,0,1,0.947945205479452
46660426,0,5143,5933,The Port,42.36380330000001,-71.0997926,2,0.0,1.0,242.0,32,1125,5.0,5.0,5.0,4.0,4.5,5.0,4.5,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,31,0,0,0,0,1,0.6191780821917808
46660463,0,5143,5933,The Port,42.36376,-71.10031,2,0.0,1.0,237.0,32,1125,5.0,5.0,5.0,4.75,4.75,5.0,5.0,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,32,0,0,0,0,1,0.7835616438356164
46660483,0,5143,5933,The Port,42.36376,-71.10031,2,1.0,1.0,279.0,32,1125,5.0,5.0,5.0,3.0,3.0,5.0,5.0,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,32,0,0,0,0,1,0.6575342465753424
46712324,0,280,446,West Cambridge,42.37277,-71.12266,5,3.0,3.0,175.0,29,365,4.73,4.64,4.73,4.73,5.0,5.0,5.0,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,1,0,0,29,0,0,0,0,1,0.4410958904109589
46777895,0,280,446,North Cambridge,42.39261,-71.13423,2,1.0,1.0,234.0,10,1125,4.0,4.17,4.0,4.33,3.67,4.67,4.0,0,97,1.0,0.0,False,True,1,1,1,1,1,1,0,1,1,0,18,0,0,0,0,1,0.2465753424657534
46780054,1,11,19,Mid-Cambridge,42.36829,-71.10591,4,1.0,3.0,413.0,1,30,4.91,4.83,4.89,4.86,5.0,4.97,4.71,1,11,1.0,0.0,False,True,1,1,1,1,1,1,0,1,1,1,32,1,0,0,1,1,0.6465753424657534
46816839,1,20,28,Mid-Cambridge,42.3709,-71.10104,1,1.0,1.0,184.0,2,420,4.83,4.85,4.91,4.96,4.96,4.93,4.65,0,16,1.0,1.0,False,True,1,1,1,1,1,1,1,1,0,1,50,0,1,0,1,1,0.926027397260274
46819186,0,1,1,Cambridgeport,42.35615,-71.11088,4,2.0,2.0,240.0,1,120,4.91,4.94,4.91,4.94,4.97,4.91,4.72,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,65,0,0,0,1,1,0.1424657534246575
