id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_clean,has_license,has_review
1390088383620900426,1,1,1,Neighborhood Nine,42.38492,-71.13642,Entire home,4,2.0,3.0,291.0,1,365,4.82,4.71,4.76,5.0,4.94,4.94,4.65,0,1,2.0,0.0,False,False,1,1,1,1,0,0,0,1,0,0,20,House,0,1
1390520609103223698,0,5143,5933,East Cambridge,42.3674074,-71.0783837,Entire rental unit,2,0.0,1.0,245.0,31,1125,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,30,Apartment,0,0
1390776994282697673,0,1,1,North Cambridge,42.389532065027375,-71.12208690978699,Private room in home,2,1.0,1.0,55.0,30,120,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,1,1.0,0.0,False,True,1,1,1,1,1,0,1,1,1,1,39,House,1,0
1391449092465910284,0,28,32,East Cambridge,42.3667097,-71.0748939,Room in hotel,2,1.0,0.0,40000.0,1,1125,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,28,1.0,0.0,True,False,1,1,1,0,1,1,1,0,1,1,25,Hotel_B_and_B,1,0
1394132001148142558,0,604,1422,Mid-Cambridge,42.37017,-71.10073,Private room in rental unit,1,4.0,1.0,53.0,31,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,13,0.0,1.0,False,True,1,1,1,1,0,0,0,0,0,0,14,Apartment,1,0
1394968600661186278,0,169,234,Wellington-Harrington,42.37158940183897,-71.08972421331113,Entire rental unit,5,3.0,3.0,265.0,3,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,83,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,37,Apartment,0,0
1396380531047539505,0,1,1,Cambridgeport,42.36247,-71.11113,Entire home,8,3.0,4.0,360.0,3,28,4.86,4.93,4.93,5.0,4.93,4.86,4.79,0,1,2.5,0.0,False,False,1,1,1,1,1,0,1,1,1,0,28,House,0,1
1397288373908458862,0,1,1,West Cambridge,42.3733879,-71.12499509999999,Entire rental unit,2,1.0,1.0,87.0,91,105,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,1,1.0,0.0,False,False,1,1,1,0,0,0,0,1,0,0,10,Apartment,0,0
1399324488510703204,0,1,1,North Cambridge,42.39256,-71.13423,Entire guest suite,2,1.0,2.0,121.0,91,400,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,0,1,46,Other_Unique,0,0
1400828514392681407,0,169,234,Wellington-Harrington,42.37351252270071,-71.08821714498241,Entire rental unit,4,2.0,2.0,212.0,3,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,83,1.0,0.0,False,False,1,1,1,1,0,1,1,1,1,1,32,Apartment,0,0
1401713739648827867,0,8,25,Wellington-Harrington,42.36816,-71.09404,Private room in rental unit,1,1.0,1.0,112.0,1,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,7,1.0,1.0,False,True,1,1,1,0,1,1,0,1,1,0,16,Apartment,0,0
1405144997307657425,1,3,5,West Cambridge,42.378004190124535,-71.12370830191242,Entire rental unit,2,1.0,1.0,175.0,30,730,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0,1,1.0,0.0,False,False,1,1,1,1,1,0,1,1,1,1,45,Apartment,0,1
1405976958154277808,0,169,234,East Cambridge,42.36733952237317,-71.08155596018882,Private room in rental unit,2,1.0,1.0,108.0,4,365,2.0,3.0,4.0,4.0,2.0,4.0,3.0,0,83,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,35,Apartment,0,1
1410214202701147012,0,169,234,East Cambridge,42.369226884905785,-71.08037772761571,Private room in rental unit,2,1.0,1.0,35.0,30,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,83,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,37,Apartment,0,0
