host_is_superhost,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,price,minimum_nights,maximum_nights,review_scores_rating,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_Hotel_B_and_B,property_type_House,property_type_Other_Unique,has_license,has_review,occupancy_rate
1,The Port,42.36763,-71.09655,4,2.0,322.0,30,255,4.77,0,10,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,39,0,0,0,1,1,0.3178082191780822
1,Cambridgeport,42.36307,-71.11065,2,1.0,134.0,3,100,4.98,0,1,1.0,0.0,False,True,1,1,1,1,1,1,0,0,1,1,23,0,1,0,0,1,0.5945205479452055
0,The Port,42.36866,-71.09876,8,3.0,322.0,1,30,4.46,0,1,1.5,0.0,False,False,1,1,1,1,1,1,1,1,0,1,41,0,0,0,1,1,0.8821917808219178
0,Cambridgeport,42.35844,-71.1092,1,1.0,98.0,91,1125,4.89,0,1,1.0,0.0,False,True,1,1,1,0,0,1,0,1,0,0,10,0,0,0,0,1,1.0
0,East Cambridge,42.37008,-71.0883,2,1.0,86.0,91,1125,4.86,0,1,1.0,0.0,False,True,1,1,1,0,0,1,0,1,0,0,12,0,0,0,0,0,1.0
1,North Cambridge,42.39478,-71.12946,4,2.0,177.0,28,365,4.99,0,2,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,51,0,0,0,1,1,0.3589041095890411
0,Agassiz,42.3783,-71.11025,9,4.0,475.0,91,11250,4.5,0,1,3.0,0.0,False,False,1,1,1,0,1,1,0,1,1,0,17,0,1,0,0,1,0.473972602739726
1,Neighborhood Nine,42.38383,-71.12516,2,1.0,119.0,5,1125,4.83,0,1,1.0,0.0,False,True,1,1,1,1,1,1,1,0,1,1,23,1,0,0,1,1,0.4027397260273972
1,Neighborhood Nine,42.38833229906466,-71.12874932865073,2,1.0,99.0,1,1125,4.93,0,1,1.0,0.0,False,True,1,1,1,1,1,1,1,1,1,1,52,0,1,0,1,1,0.6438356164383562
1,Agassiz,42.38555,-71.1177,4,2.0,207.0,3,10,4.96,0,1,1.0,0.0,False,True,1,1,1,1,1,1,1,0,1,0,45,0,1,0,1,1,0.0410958904109589
